,A,B,Ratio
1650,Bachelor of Science (Anatomy & Human Biology),Anatomy,100
1651,Bachelor of Science (Anatomy & Human Biology),Biology,100
1652,Bachelor of Science (Anatomy & Human Biology),Science,100
1653,Bachelor of Science (Anatomy and Human Biology),Anatomy,100
1654,Bachelor of Science (Anatomy and Human Biology),Biology,100
1655,Bachelor of Science (Anatomy and Human Biology),Science,100
1656,Bachelor of Science (Animal Behaviour),Science,100
1657,Bachelor of Science (Applied Computing),Computing,100
1658,Bachelor of Science (Applied Computing),Science,100
1659,Bachelor of Science (Aquaculture),Science,100
1660,Bachelor of Science (Biochemistry and Molecular Biology),Biochemistry,100
1661,Bachelor of Science (Biochemistry and Molecular Biology),Biology,100
1662,Bachelor of Science (Biochemistry and Molecular Biology),Science,100
1663,Bachelor of Science (Biomedical Science),Science,100
1664,Bachelor of Science (Botany),Science,100
1665,Bachelor of Science (BSc)  all other majors,Science,100
1666,Bachelor of Science (Chemical Sciences),Science,100
1667,Bachelor of Science (Chemistry),Chemistry,100
1668,Bachelor of Science (Chemistry),Science,100
1669,Bachelor of Science (Computer Science),Science,100
1670,Bachelor of Science (Conservation Biology),Biology,100
1671,Bachelor of Science (Conservation Biology),Science,100
1672,Bachelor of Science (Data Science),Data,100
1673,Bachelor of Science (Data Science),Science,100
1674,Bachelor of Science (Earth Sciences),Science,100
1675,Bachelor of Science (Ecology and Biodiversity),Ecology,100
1676,Bachelor of Science (Ecology and Biodiversity),Science,100
1677,Bachelor of Science (Engineering Science),Engineering ,100
1678,Bachelor of Science (Engineering Science),Science,100
1679,Bachelor of Science (Environmental Science),Science,100
1680,Bachelor of Science (Environmental Sciences),Science,100
1681,Bachelor of Science (Exercise and Health),Science,100
1682,Bachelor of Science (Forensic and Analytical Science),Science,100
1683,Bachelor of Science (Genetics),Genetics,100
1684,Bachelor of Science (Genetics),Science,100
1685,Bachelor of Science (Geology),Geology,100
1686,Bachelor of Science (Geology),Science,100
1687,Bachelor of Science (Health),Science,100
1688,Bachelor of Science (Health) and Master of Nursing,Nursing,100
1689,Bachelor of Science (Health) and Master of Nursing,Science,100
1690,Bachelor of Science (Honours) (Biotechnology),Science,100
1691,Bachelor of Science (Honours) (Biotechnology),Biotechnology,100
1692,Bachelor of Science (Marine Biology and Aquaculture),Biology,100
1693,Bachelor of Science (Marine Biology and Aquaculture),Science,100
1694,Bachelor of Science (Marine Biology),Biology,100
1695,Bachelor of Science (Marine Biology),Science,100
1696,Bachelor of Science (Marine Science),Science,100
1697,Bachelor of Science (Mathematics and Statistics),Mathematics,100
1698,Bachelor of Science (Mathematics and Statistics),Science,100
1699,Bachelor of Science (Mathematics and Statistics),Statistics,100
1700,Bachelor of Science (Medical Science),Science,100
1701,Bachelor of Science (Molecular and Cellular Biology),Biology,100
1702,Bachelor of Science (Molecular and Cellular Biology),Science,100
1703,Bachelor of Science (Molecular Bioscience),Science,100
1704,Bachelor of Science (Nanotechnology),Science,100
1705,Bachelor of Science (Natural Resource Management),Management,100
1706,Bachelor of Science (Natural Resource Management),Science,100
1707,Bachelor of Science (Neuroscience),Neuroscience,100
1708,Bachelor of Science (Neuroscience),Science,100
1709,Bachelor of science (Pharmacology),Science,100
1710,Bachelor of Science (Physics),Physics,100
1711,Bachelor of Science (Physics),Science,100
1712,Bachelor of Science (Physiological Science),Science,100
1713,Bachelor of Science (Physiology),Science,100
1714,Bachelor of Science (Psychological Science),Science,100
1715,Bachelor of Science (Psychology double major),Psychology,100
1716,Bachelor of Science (Psychology double major),Science,100
1717,Bachelor of Science (Psychology),Psychology,100
1718,Bachelor of Science (Psychology),Science,100
1719,Bachelor of Science (Sport Science),Science,100
1720,Bachelor of Science (Statistics),Science,100
1721,Bachelor of Science (Statistics),Statistics,100
1722,Bachelor of Science (Zoology),Science,100
1723,Bachelor of Science and Bachelor of Advanced Studies,Science,100
1724,Bachelor of Science and Bachelor of Advanced Studies (Agriculture),Science,100
1725,Bachelor of Science and Bachelor of Advanced Studies (Animal and Veterinary Bioscience),Science,100
1726,Bachelor of Science and Bachelor of Advanced Studies (Dalyell Scholars including Mathematical Science),Science,100
1727,Bachelor of Science and Bachelor of Advanced Studies (Food and Agribusiness),Science,100
1728,Bachelor of Science and Bachelor of Advanced Studies (Medical Science),Science,100
1729,Bachelor of Science and Bachelor of Laws,Science,100
1730,Bachelor of Science and Master of Mathematical Sciences,Science,100
1731,Bachelor of Science and Master of Nutrition and Dietetics,Nutrition,100
1732,Bachelor of Science and Master of Nutrition and Dietetics,Science,100
1733,Bachelor of Science -Biochemistry and Molecular Biology,Biochemistry,100
1734,Bachelor of Science -Biochemistry and Molecular Biology,Biology,100
1735,Bachelor of Science -Biochemistry and Molecular Biology,Science,100
1736,Bachelor of Science in Environmental Management,Management,100
1737,Bachelor of Science in Environmental Management,Science,100
