,A,B,Ratio
5199,MSc Advanced Mechanical Engineering & Industrial Placement,Industrial,100
5200,MSC Advanced Mechanical Engineering H1KA09,Engineering ,100
5201,MSC Advanced Mechanical Engineering H1KA09,Mechanical,100
5202,MSc Advanced Mechanical Engineering with Aerospace,Aerospace,100
5203,MSc Advanced Mechanical Engineering with Aerospace,Engineering ,100
5204,MSc Advanced Mechanical Engineering with Aerospace,Mechanical,100
5205,MSc Advanced Mechanical Engineering with Industrial Placement,Engineering ,100
5206,MSc Advanced Mechanical Engineering with Industrial Placement,Mechanical,100
5207,MSc Advanced Mechanical Engineering with Industrial Placement,Industrial,100
5208,MSc Advanced Mechanical Engineering with Materials,Engineering ,100
5209,MSc Advanced Mechanical Engineering with Materials,Materials,100
5210,MSc Advanced Mechanical Engineering with Materials,Mechanical,100
5211,MSc Advanced Pharmaceutical Manufacturing,Manufacturing,100
5212,MSc Advanced Software Engineering,Engineering ,100
5213,MSc Advanced Software Engineering,Software,100
5214,MSc Advanced Structural Engineering,Engineering ,100
5215,MSc Applied Physics,Physics,100
5216,MSc Applied Statistics,Statistics,100
5217,MSc Applied Statistics in Health Sciences,Statistics,100
5218,MSc Architectural Design for the Conservation of Built Heritage,Design,100
5219,MSc Architectural Engineering Design,Design,100
5220,MSc Architectural Engineering Design,Engineering ,100
5221,MSc Artificial Intelligence,Intelligence,100
5222,MSc Artificial Intelligence & Applications,Intelligence,100
5223,MSc Artificial Intelligence and Adaptive Systems,Intelligence,100
5224,MSc Artificial Intelligence and Adaptive Systems,Systems,100
5225,MSc Autonomous Robotic Intelligent Systems,Systems,100
5226,MSc Autonomous Robotic Intelligent Systems,Intelligent,100
5227,MSc Autonomous Robotic Intelligent Systems,Robotic,100
5228,MSc Banking & Finance,Banking,100
5229,MSc Banking & Finance,Finance,100
5230,MSc Banking and Finance,Banking,100
5231,MSc Banking and Finance,Finance,100
5232,MSc Behaviour Science,Science,100
5233,MSc Behavioural Science C8K409,Science,100
5234,MSc Biochemical Engineering with Industrial Management,Engineering ,100
5235,MSc Biochemical Engineering with Industrial Management,Management,100
5236,MSc Biochemical Engineering with Industrial Management,Industrial,100
5237,MSc Biochemical Engineering with Industrial Management ,Engineering ,100
5238,MSc Biochemical Engineering with Industrial Management ,Management,100
5239,MSc Biochemical Engineering with Industrial Management ,Industrial,100
5240,MSc Biomaterials ,Materials,72
5241,MSc Biomaterials and Regenerative Medicine,Medicine,100
5242,MSc Biomedical Engineering,Engineering ,100
5243,MSc Biomedical Science,Science,100
5244,MSc Biomedical Science ,Science,100
5245,MSc Biomedical Science with Education,Education,100
5246,MSc Biomedical Science with Education,Science,100
5247,MSc Bridge Engineering,Engineering ,100
5248,MSc Business,Business,100
5249,MSc Business & Management,Business,100
5250,MSc Business & Management,Management,100
5251,MSc Business Analysis & Consulting,Business,100
5252,MSc Business Analytics,Analytics,100
5253,MSc Business Analytics,Business,100
5254,MSc Business Analytics (with Placement Year),Analytics,100
5255,MSc Business Analytics (with Placement Year),Business,100
5256,MSc Business Analytics G5K709,Analytics,100
5257,MSc Business Analytics G5K709,Business,100
5258,MSc Business and Management,Business,100
5259,MSc Business and Management,Management,100
5260,MSc Business Finance & Economics,Business,100
5261,MSc Business Finance & Economics,Economics,100
5262,MSc Business Finance & Economics,Finance,100
5263,MSc Business Finance and Economics,Business,100
5264,MSc Business Finance and Economics,Economics,100
5265,MSc Business Finance and Economics,Finance,100
5266,MSc Business Finance and Economics ,Business,100
5267,MSc Business Finance and Economics ,Economics,100
5268,MSc Business Finance and Economics ,Finance,100
5269,MSc Business Intelligence and Analytics,Analytics,100
5270,MSc Business Intelligence and Analytics,Business,100
5271,MSc Business Intelligence and Analytics,Intelligence,100
5272,MSc Business Translation and Interpreting,Business,100
5273,MSc Business Translation and Interpreting,Translation,100
5274,MSc Business with Finance,Business,100
5275,MSc Business with Finance,Finance,100
5276,MSc Business with Human Resource Management ,Business,100
5277,MSc Business with Human Resource Management ,Management,100
